+----------------------------------+------------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2          |           P3           |          P4          |           P5          |           P6          |           P7          |           P8          |
+----------------------------------+------------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1           |           1            |          1           |           1           |           1           |           1           |           1           |
|           Added Value            |  0.01758241758241752   |  -0.2865384615384615  |   0.3871794871794872   | 0.22051282051282045  |  -0.18461538461538463 |  -0.16923076923076918 |  -0.16923076923076918 |  -0.3282051282051282  |
|        Casual Confidence         |  0.32019704433497537   |  0.19979508196721313  |   0.4368279569892473   |  0.3494623655913978  |   0.2620967741935484  |  0.26639344262295084  |   0.2620967741935484  |   0.1706036745406824  |
|          Casual Support          |  0.46153846153846156   |  0.32307692307692304  |   0.5846153846153845   |  0.5692307692307692  |   0.3153846153846154  |  0.33076923076923076  |   0.3307692307692308  |   0.3307692307692308  |
|         Certainty Factor         |  0.03940886699507375   |   -0.846590909090909  |   0.6990740740740741   | 0.39814814814814803  |  -0.5853658536585367  |   -0.511627906976744  |   -0.511627906976744  |  -0.9696969696969696  |
|            Conviction            |   1.0410256410256409   |   0.5415384615384615  |   3.3230769230769233   |  1.6615384615384616  |   0.6307692307692307  |   0.6615384615384616  |   0.6615384615384616  |   0.5076923076923078  |
|        Coverage (Support)        |   0.1076923076923077   |  0.06153846153846154  |  0.046153846153846156  | 0.046153846153846156 |  0.046153846153846156 |  0.06153846153846154  |  0.046153846153846156 |  0.023076923076923078 |
| Descriptive Confirmed Confidence |  0.14285714285714285   |         -0.25         |   0.6666666666666667   |  0.3333333333333333  |          0.0          |          0.0          |          0.0          |  -0.3333333333333333  |
|    Difference of Proportions     |  0.01970443349753681   |   -0.305327868852459  |   0.4059139784946237   | 0.23118279569892464  |  -0.19354838709677424 |   -0.180327868852459  |  -0.17741935483870974 |  -0.3359580052493439  |
|   Example and Counter Example    |          0.25          |  -0.6666666666666666  |          0.8           |         0.5          |          0.0          |          0.0          |          0.0          |          -1.0         |
|         Imbalance Ratio          |   0.7435897435897435   |   0.8571428571428572  |    0.88135593220339    |  0.8666666666666665  |   0.9021739130434785  |   0.868131868131868   |   0.9000000000000001  |   0.9431818181818181  |
|  Fisher's Exact Test (p-value)   |   0.5603408580656498   |   0.981976335619338   |  0.06211003197498344   |  0.2439579606440072  |   0.9215606552087966  |   0.9213227076454154  |   0.9075161518271755  |   0.9629807692307693  |
|         Hyper Confidence         |   0.4396591419343502   |  0.018023664380662052 |   0.9378899680250166   |  0.7560420393559928  |   0.0784393447912034  |  0.07867729235458465  |  0.09248384817282451  |  0.03701923076923075  |
|            Hyper Lift            |   0.7272727272727273   |  0.42857142857142855  |          1.0           |         0.8          |          0.5          |   0.5714285714285714  |          0.5          |   0.3333333333333333  |
|   Laplace Corrected Confidence   |         0.5625         |          0.4          |          0.75          |        0.625         |          0.5          |          0.5          |          0.5          |          0.4          |
|            Importance            |  0.10914446942506807   |  -0.17609125905568118 |  0.47712125471966244   | 0.22184874961635637  |          0.0          |          0.0          |          0.0          |  -0.17609125905568118 |
|       Jaccard Coefficient        |  0.10256410256410256   |  0.03296703296703297  |   0.0847457627118644   | 0.06666666666666667  |  0.03260869565217391  |  0.04395604395604396  |  0.03333333333333334  |  0.011363636363636364 |
|            J-Measure             | 2.9337678538624967e-05 |  0.004556015170742972 |  0.006424078222871521  | 0.001974427700497571 | 0.0014689119212552971 | 0.0016258155411540335 |  0.001219361655865525 |  0.002239403691334944 |
|              Kappa               |  0.006983849847228366  |  -0.05496126890446342 |  0.07922350472193063   | 0.04512067156348375  |  -0.02552738876085792 |  -0.03212265011863486 |  -0.02390005431830526 | -0.023159037452505804 |
|             Klosgen              |  0.004361660996543578  | -0.043528317027538364 |  0.07593214463042511   | 0.038680507518156146 |  -0.02804509016539385 |  -0.02968504065346867 | -0.025707999318277688 |  -0.02878549396699993 |
|            Kulczynski            |   0.3412698412698413   |  0.20494186046511628  |  0.45977011494252873   |  0.367816091954023   |  0.26685393258426965  |  0.27298850574712646  |   0.2672413793103448  |  0.17248062015503876  |
|     Goodman-Kruskal's Lambda     |   0.5245901639344263   |   0.6535433070866141  |         0.424          | 0.42857142857142855  |   0.6771653543307087  |   0.6587301587301587  |   0.6614173228346456  |   0.6589147286821705  |
|       Least Contradiction        |  0.027777777777777776  | -0.023255813953488375 |  0.06896551724137931   | 0.034482758620689655 |          0.0          |          0.0          |          0.0          | -0.011627906976744188 |
|        Lerman Similarity         |  0.08839913921757278   |  -0.9964382006208561  |   1.419860393381403    |  0.8086622108000043  |  -0.5465377787924305  |  -0.5851084523168252  |  -0.5067187836753666  |  -0.6989215647035315  |
|        Piatetsky-Shapiro         | 0.0018934911242603492  | -0.017633136094674554 |   0.0178698224852071   | 0.010177514792899408 | -0.008520710059171599 | -0.010414201183431948 | -0.007810650887573961 | -0.007573964497041421 |
|          Max Confidence          |   0.5714285714285714   |         0.375         |   0.8333333333333334   |  0.6666666666666666  |          0.5          |          0.5          |          0.5          |   0.3333333333333333  |
|            Odds Ratio            |   1.0833333333333335   |  0.28192771084337354  |   6.698113207547169    |  2.592592592592592   |   0.4418604651162791  |   0.4698795180722892  |  0.47619047619047616  |  0.24705882352941178  |
|   Phi Correlation Coefficient    |  0.01228787319137583   |  0.15506571692015664  |  0.17133268867097762   | 0.09758020679274222  |  0.08739550428251841  |  0.09210726885367798  |  0.07912133553024238  |  0.10660361151149061  |
|          Ralambondrainy          |  0.046153846153846156  |  0.038461538461538464 |  0.007692307692307693  | 0.015384615384615385 |  0.023076923076923078 |  0.03076923076923077  |  0.023076923076923078 |  0.015384615384615385 |
| Relative Linkage Disequilibrium  |    0.99855976956313    |   0.9999225666572026  |   0.9999745294312422   |  0.9999105625614882  |   0.9998397692677455  |   0.9998252053836741  |   0.9998252053836741  |   0.9999399074574845  |
|          Relative Risk           |   1.0357142857142854   |   0.5512048192771084  |   1.949685534591195    |  1.530864197530864   |   0.7209302325581395  |   0.7349397590361446  |   0.738095238095238   |  0.49803921568627446  |
|        Rule Power Factor         |  0.035164835164835165  |  0.008653846153846154 |  0.032051282051282055  | 0.020512820512820513 |  0.011538461538461539 |  0.015384615384615385 |  0.011538461538461539 |  0.002564102564102564 |
|         Sebag-Schoenauer         |   1.3333333333333333   |          0.6          |          5.0           |         2.0          |          1.0          |          1.0          |          1.0          |          0.5          |
|              Yule Q              |  0.040000000000000015  |  -0.5601503759398495  |   0.7401960784313726   | 0.44329896907216493  |  -0.38709677419354843 |  -0.36065573770491793 |  -0.35483870967741943 |  -0.6037735849056604  |
|              Yule Y              |  0.020008006406407146  |  -0.3063624755607635  |  0.44259748030858165   | 0.23376138425263646  |  -0.20139901200725802 |  -0.18660729698646805 |  -0.18338604614737483 |  -0.3359606141076495  |
|         Weighted Support         |   0.1076923076923077   |  0.06153846153846154  |  0.046153846153846156  | 0.046153846153846156 |  0.046153846153846156 |  0.06153846153846154  |  0.046153846153846156 |  0.023076923076923078 |
|      Weighted Rule Support       |  0.06153846153846154   |  0.023076923076923078 |  0.038461538461538464  | 0.03076923076923077  |  0.023076923076923078 |  0.03076923076923077  |  0.023076923076923078 |  0.007692307692307693 |
|       Weighted Confidence        |   0.5714285714285714   |         0.375         |   0.8333333333333334   |  0.6666666666666666  |          0.5          |          0.5          |          0.5          |   0.3333333333333333  |
|          Weighted Lift           |   1.0317460317460316   |   0.5668604651162791  |   1.867816091954023    |  1.4942528735632183  |   0.7303370786516854  |   0.7471264367816093  |   0.7471264367816093  |   0.5038759689922481  |
|     Statistical Significance     | 0.0002408677805126087  |  0.14254656782950334  | 0.00023124873722856618 | 0.08256681788648625  |  0.14204929084153142  |  0.11571834369615079  |  0.12126069739804772  |  0.000831983718449812 |
|           FleBiC Score           | 3.0950554478861954e-05 |  0.07585827757779635  | 0.00014615716551797116 | 0.024310126514992397 |  0.037460681333682515 |  0.030670574894103114 |  0.027722989819872982 | 0.0002802621987934851 |
+----------------------------------+------------------------+-----------------------+------------------------+----------------------+-----------------------+-----------------------+-----------------------+-----------------------+
