names,values,assay_name
LCFA_ECOLI,127385,C1-S11-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",76212,C1-S11-B1.1-R2
Fatty acyl-CoA reductase,0,C1-S11-B1.1-R2
A1U2T0,0,C1-S11-B1.1-R2
A1U3L3,736006,C1-S11-B1.1-R2
AHR_ECOLI,0,C1-S11-B1.2-R1
LCFA_ECOLI,87148,C1-S11-B1.2-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",61346,C1-S11-B1.2-R1
Fatty acyl-CoA reductase,0,C1-S11-B1.2-R1
A1U2T0,1149,C1-S11-B1.2-R1
A1U3L3,360114,C1-S11-B1.2-R1
AHR_ECOLI,331,C1-S11-B1.2-R2
LCFA_ECOLI,78968,C1-S11-B1.2-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",69825,C1-S11-B1.2-R2
Fatty acyl-CoA reductase,0,C1-S11-B1.2-R2
A1U2T0,3377,C1-S11-B1.2-R2
A1U3L3,405148,C1-S11-B1.2-R2
AHR_ECOLI,0,C1-S11-B1.2-R3
LCFA_ECOLI,84297,C1-S11-B1.2-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",67842,C1-S11-B1.2-R3
Fatty acyl-CoA reductase,0,C1-S11-B1.2-R3
A1U2T0,0,C1-S11-B1.2-R3
A1U3L3,400045,C1-S11-B1.2-R3
AHR_ECOLI,1535,C1-S11-B2.3-R1
LCFA_ECOLI,135925,C1-S11-B2.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",81518,C1-S11-B2.3-R1
Fatty acyl-CoA reductase,475,C1-S11-B2.3-R1
A1U2T0,6237,C1-S11-B2.3-R1
A1U3L3,543544,C1-S11-B2.3-R1
AHR_ECOLI,2090,C1-S11-B2.3-R2
LCFA_ECOLI,137966,C1-S11-B2.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",80815,C1-S11-B2.3-R2
Fatty acyl-CoA reductase,538,C1-S11-B2.3-R2
A1U2T0,0,C1-S11-B2.3-R2
A1U3L3,516922,C1-S11-B2.3-R2
AHR_ECOLI,3012,C1-S11-B2.3-R3
LCFA_ECOLI,135445,C1-S11-B2.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",83388,C1-S11-B2.3-R3
Fatty acyl-CoA reductase,1831,C1-S11-B2.3-R3
A1U2T0,6175,C1-S11-B2.3-R3
A1U3L3,530792,C1-S11-B2.3-R3
AHR_ECOLI,1184,C1-S11-B2.4-R1
LCFA_ECOLI,217404,C1-S11-B2.4-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",105854,C1-S11-B2.4-R1
Fatty acyl-CoA reductase,0,C1-S11-B2.4-R1
A1U2T0,6728,C1-S11-B2.4-R1
A1U3L3,937286,C1-S11-B2.4-R1
AHR_ECOLI,2373,C1-S11-B2.4-R2
LCFA_ECOLI,219170,C1-S11-B2.4-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",116151,C1-S11-B2.4-R2
Fatty acyl-CoA reductase,0,C1-S11-B2.4-R2
A1U2T0,27669,C1-S11-B2.4-R2
A1U3L3,944820,C1-S11-B2.4-R2
AHR_ECOLI,2177,C1-S11-B2.4-R3
LCFA_ECOLI,211659,C1-S11-B2.4-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",117200,C1-S11-B2.4-R3
Fatty acyl-CoA reductase,632,C1-S11-B2.4-R3
A1U2T0,26890,C1-S11-B2.4-R3
A1U3L3,878773,C1-S11-B2.4-R3
AHR_ECOLI,1085,C1-S11-B2.5-R1
LCFA_ECOLI,157833,C1-S11-B2.5-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",67305,C1-S11-B2.5-R1
Fatty acyl-CoA reductase,1681,C1-S11-B2.5-R1
A1U2T0,0,C1-S11-B2.5-R1
A1U3L3,454633,C1-S11-B2.5-R1
AHR_ECOLI,894,C1-S11-B2.5-R1-IPTG0.5
LCFA_ECOLI,146235,C1-S11-B2.5-R1-IPTG0.5
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",73874,C1-S11-B2.5-R1-IPTG0.5
Fatty acyl-CoA reductase,1461,C1-S11-B2.5-R1-IPTG0.5
A1U2T0,0,C1-S11-B2.5-R1-IPTG0.5
A1U3L3,442981,C1-S11-B2.5-R1-IPTG0.5
AHR_ECOLI,0,C1-S11-B2.5-R2
LCFA_ECOLI,164543,C1-S11-B2.5-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",66426,C1-S11-B2.5-R2
Fatty acyl-CoA reductase,1479,C1-S11-B2.5-R2
A1U2T0,1543,C1-S11-B2.5-R2
A1U3L3,480334,C1-S11-B2.5-R2
AHR_ECOLI,0,C1-S11-B2.5-R2-IPTG0.5
LCFA_ECOLI,123769,C1-S11-B2.5-R2-IPTG0.5
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",68796,C1-S11-B2.5-R2-IPTG0.5
Fatty acyl-CoA reductase,1078,C1-S11-B2.5-R2-IPTG0.5
A1U2T0,2973,C1-S11-B2.5-R2-IPTG0.5
A1U3L3,400409,C1-S11-B2.5-R2-IPTG0.5
AHR_ECOLI,493,C1-S11-B2.5-R3
LCFA_ECOLI,161957,C1-S11-B2.5-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",77725,C1-S11-B2.5-R3
Fatty acyl-CoA reductase,1848,C1-S11-B2.5-R3
A1U2T0,2686,C1-S11-B2.5-R3
A1U3L3,476210,C1-S11-B2.5-R3
AHR_ECOLI,0,C1-S11-B2.5-R3-IPTG0.5
LCFA_ECOLI,131872,C1-S11-B2.5-R3-IPTG0.5
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",67059,C1-S11-B2.5-R3-IPTG0.5
Fatty acyl-CoA reductase,0,C1-S11-B2.5-R3-IPTG0.5
A1U2T0,0,C1-S11-B2.5-R3-IPTG0.5
A1U3L3,395214,C1-S11-B2.5-R3-IPTG0.5
AHR_ECOLI,1650,C1-S12-B1.1-R1
LCFA_ECOLI,516401,C1-S12-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",76399,C1-S12-B1.1-R1
Fatty acyl-CoA reductase,0,C1-S12-B1.1-R1
A1U2T0,352,C1-S12-B1.1-R1
A1U3L3,740579,C1-S12-B1.1-R1
AHR_ECOLI,669,C1-S12-B1.1-R2
LCFA_ECOLI,530998,C1-S12-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",77474,C1-S12-B1.1-R2
Fatty acyl-CoA reductase,0,C1-S12-B1.1-R2
A1U2T0,0,C1-S12-B1.1-R2
A1U3L3,762921,C1-S12-B1.1-R2
AHR_ECOLI,887,C1-S13-B1.3-R1
LCFA_ECOLI,198841,C1-S13-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",210505,C1-S13-B1.3-R1
Fatty acyl-CoA reductase,0,C1-S13-B1.3-R1
A1U2T0,12448,C1-S13-B1.3-R1
A1U3L3,8602,C1-S13-B1.3-R1
AHR_ECOLI,1376,C1-S13-B1.3-R2
LCFA_ECOLI,196947,C1-S13-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",218624,C1-S13-B1.3-R2
Fatty acyl-CoA reductase,0,C1-S13-B1.3-R2
A1U2T0,12835,C1-S13-B1.3-R2
A1U3L3,0,C1-S13-B1.3-R2
AHR_ECOLI,0,C1-S13-B1.3-R3
LCFA_ECOLI,208068,C1-S13-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",216250,C1-S13-B1.3-R3
Fatty acyl-CoA reductase,0,C1-S13-B1.3-R3
A1U2T0,10366,C1-S13-B1.3-R3
A1U3L3,0,C1-S13-B1.3-R3
AHR_ECOLI,0,C1-S15-B1.1-R1
LCFA_ECOLI,164171,C1-S15-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",59741,C1-S15-B1.1-R1
Fatty acyl-CoA reductase,0,C1-S15-B1.1-R1
A1U2T0,8372,C1-S15-B1.1-R1
A1U3L3,8555,C1-S15-B1.1-R1
AHR_ECOLI,307,C1-S15-B1.1-R2
LCFA_ECOLI,240185,C1-S15-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",83972,C1-S15-B1.1-R2
Fatty acyl-CoA reductase,0,C1-S15-B1.1-R2
A1U2T0,10438,C1-S15-B1.1-R2
A1U3L3,3483,C1-S15-B1.1-R2
AHR_ECOLI,188,C1-S16-B1.1-R1
LCFA_ECOLI,115367,C1-S16-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",105024,C1-S16-B1.1-R1
Fatty acyl-CoA reductase,0,C1-S16-B1.1-R1
A1U2T0,21091,C1-S16-B1.1-R1
A1U3L3,2518,C1-S16-B1.1-R1
AHR_ECOLI,0,C1-S16-B1.1-R2
LCFA_ECOLI,84540,C1-S16-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",73675,C1-S16-B1.1-R2
Fatty acyl-CoA reductase,0,C1-S16-B1.1-R2
A1U2T0,8954,C1-S16-B1.1-R2
A1U3L3,0,C1-S16-B1.1-R2
AHR_ECOLI,0,C1-S16-B1.3-R1
LCFA_ECOLI,99672,C1-S16-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",98067,C1-S16-B1.3-R1
Fatty acyl-CoA reductase,0,C1-S16-B1.3-R1
A1U2T0,4053,C1-S16-B1.3-R1
A1U3L3,0,C1-S16-B1.3-R1
AHR_ECOLI,0,C1-S16-B1.3-R2
LCFA_ECOLI,94673,C1-S16-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",98633,C1-S16-B1.3-R2
Fatty acyl-CoA reductase,452,C1-S16-B1.3-R2
A1U2T0,3475,C1-S16-B1.3-R2
A1U3L3,0,C1-S16-B1.3-R2
AHR_ECOLI,527,C1-S16-B1.3-R3
LCFA_ECOLI,93288,C1-S16-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",105837,C1-S16-B1.3-R3
Fatty acyl-CoA reductase,0,C1-S16-B1.3-R3
A1U2T0,9574,C1-S16-B1.3-R3
A1U3L3,0,C1-S16-B1.3-R3
AHR_ECOLI,1663,C1-S18-B1.3-R1
LCFA_ECOLI,303399,C1-S18-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",91015,C1-S18-B1.3-R1
Fatty acyl-CoA reductase,0,C1-S18-B1.3-R1
A1U2T0,215377,C1-S18-B1.3-R1
A1U3L3,400,C1-S18-B1.3-R1
AHR_ECOLI,814,C1-S18-B1.3-R2
LCFA_ECOLI,290265,C1-S18-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",87990,C1-S18-B1.3-R2
Fatty acyl-CoA reductase,0,C1-S18-B1.3-R2
A1U2T0,203658,C1-S18-B1.3-R2
A1U3L3,1671,C1-S18-B1.3-R2
AHR_ECOLI,822,C1-S18-B1.3-R3
LCFA_ECOLI,309202,C1-S18-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",88388,C1-S18-B1.3-R3
Fatty acyl-CoA reductase,0,C1-S18-B1.3-R3
A1U2T0,172397,C1-S18-B1.3-R3
A1U3L3,0,C1-S18-B1.3-R3
AHR_ECOLI,1627,C1-S19-B1.2-R1
LCFA_ECOLI,163117,C1-S19-B1.2-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",73678,C1-S19-B1.2-R1
Fatty acyl-CoA reductase,1117,C1-S19-B1.2-R1
A1U2T0,192296,C1-S19-B1.2-R1
A1U3L3,10156,C1-S19-B1.2-R1
AHR_ECOLI,1328,C1-S19-B1.2-R2
LCFA_ECOLI,163881,C1-S19-B1.2-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",73549,C1-S19-B1.2-R2
Fatty acyl-CoA reductase,1577,C1-S19-B1.2-R2
A1U2T0,171189,C1-S19-B1.2-R2
A1U3L3,3105,C1-S19-B1.2-R2
AHR_ECOLI,795,C1-S19-B1.2-R3
LCFA_ECOLI,153324,C1-S19-B1.2-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",72968,C1-S19-B1.2-R3
Fatty acyl-CoA reductase,0,C1-S19-B1.2-R3
A1U2T0,151364,C1-S19-B1.2-R3
A1U3L3,0,C1-S19-B1.2-R3
AHR_ECOLI,530,C1-S2-B1.1-R1
LCFA_ECOLI,106977,C1-S2-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",123692,C1-S2-B1.1-R1
Fatty acyl-CoA reductase,396,C1-S2-B1.1-R1
A1U2T0,0,C1-S2-B1.1-R1
A1U3L3,158408,C1-S2-B1.1-R1
AHR_ECOLI,470,C1-S2-B1.1-R2
LCFA_ECOLI,110415,C1-S2-B1.1-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",161836,C1-S2-B1.1-R2
Fatty acyl-CoA reductase,0,C1-S2-B1.1-R2
A1U2T0,1744,C1-S2-B1.1-R2
A1U3L3,155221,C1-S2-B1.1-R2
AHR_ECOLI,0,C1-S2-B1.3-R1
LCFA_ECOLI,97136,C1-S2-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",139410,C1-S2-B1.3-R1
Fatty acyl-CoA reductase,0,C1-S2-B1.3-R1
A1U2T0,0,C1-S2-B1.3-R1
A1U3L3,119671,C1-S2-B1.3-R1
AHR_ECOLI,576,C1-S2-B1.3-R2
LCFA_ECOLI,107045,C1-S2-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",147915,C1-S2-B1.3-R2
Fatty acyl-CoA reductase,0,C1-S2-B1.3-R2
A1U2T0,0,C1-S2-B1.3-R2
A1U3L3,135795,C1-S2-B1.3-R2
AHR_ECOLI,773,C1-S2-B1.3-R3
LCFA_ECOLI,144772,C1-S2-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",153000,C1-S2-B1.3-R3
Fatty acyl-CoA reductase,0,C1-S2-B1.3-R3
A1U2T0,588,C1-S2-B1.3-R3
A1U3L3,188926,C1-S2-B1.3-R3
AHR_ECOLI,146386,C1-S21-B1.3-R1
LCFA_ECOLI,203935,C1-S21-B1.3-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",236836,C1-S21-B1.3-R1
Fatty acyl-CoA reductase,13405,C1-S21-B1.3-R1
A1U2T0,1655,C1-S21-B1.3-R1
A1U3L3,0,C1-S21-B1.3-R1
AHR_ECOLI,145548,C1-S21-B1.3-R2
LCFA_ECOLI,201775,C1-S21-B1.3-R2
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",262033,C1-S21-B1.3-R2
Fatty acyl-CoA reductase,14472,C1-S21-B1.3-R2
A1U2T0,0,C1-S21-B1.3-R2
A1U3L3,0,C1-S21-B1.3-R2
AHR_ECOLI,153728,C1-S21-B1.3-R3
LCFA_ECOLI,208120,C1-S21-B1.3-R3
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",255132,C1-S21-B1.3-R3
Fatty acyl-CoA reductase,15854,C1-S21-B1.3-R3
A1U2T0,942,C1-S21-B1.3-R3
A1U3L3,2348,C1-S21-B1.3-R3
AHR_ECOLI,184852,C1-S22-B1.1-R1
LCFA_ECOLI,608802,C1-S22-B1.1-R1
"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",300131,C1-S22-B1.1-R1
