names,values,assay_name
dodecan-1-ol,0,C0-S9017-B1.2-R3
hexadecan-1-ol,0.6657,C0-S9017-B1.2-R3
octadecan-1-ol,0.35752,C0-S9017-B1.2-R3
tetradecan-1-ol,0.30321,C0-S9017-B1.2-R3
dodecan-1-ol,0.64397,C1-S1-B1.3-R1
hexadecan-1-ol,0.12096,C1-S1-B1.3-R1
octadecan-1-ol,0.15009,C1-S1-B1.3-R1
tetradecan-1-ol,0.1103,C1-S1-B1.3-R1
dodecan-1-ol,0.6289,C1-S1-B1.3-R2
hexadecan-1-ol,0.12146,C1-S1-B1.3-R2
octadecan-1-ol,0.14935,C1-S1-B1.3-R2
tetradecan-1-ol,0.10957,C1-S1-B1.3-R2
dodecan-1-ol,0.62889,C1-S1-B1.3-R3
hexadecan-1-ol,0.12189,C1-S1-B1.3-R3
octadecan-1-ol,0.15069,C1-S1-B1.3-R3
tetradecan-1-ol,0.11213,C1-S1-B1.3-R3
dodecan-1-ol,0.63397,C1-S2-B1.3-R1
hexadecan-1-ol,0.12134,C1-S2-B1.3-R1
octadecan-1-ol,0.14927,C1-S2-B1.3-R1
tetradecan-1-ol,0.10927,C1-S2-B1.3-R1
dodecan-1-ol,0.63347,C1-S2-B1.3-R2
hexadecan-1-ol,0.12046,C1-S2-B1.3-R2
octadecan-1-ol,0.14794,C1-S2-B1.3-R2
tetradecan-1-ol,0.1066,C1-S2-B1.3-R2
dodecan-1-ol,0.62905,C1-S2-B1.3-R3
hexadecan-1-ol,0.12036,C1-S2-B1.3-R3
octadecan-1-ol,0.148,C1-S2-B1.3-R3
tetradecan-1-ol,0.1067,C1-S2-B1.3-R3
dodecan-1-ol,0.1682,C1-S3-B1.3-R1
hexadecan-1-ol,0.11194,C1-S3-B1.3-R1
octadecan-1-ol,0,C1-S3-B1.3-R1
tetradecan-1-ol,0.07322,C1-S3-B1.3-R1
dodecan-1-ol,0.16936,C1-S3-B1.3-R2
hexadecan-1-ol,0,C1-S3-B1.3-R2
octadecan-1-ol,0,C1-S3-B1.3-R2
tetradecan-1-ol,0.07386,C1-S3-B1.3-R2
dodecan-1-ol,0.16928,C1-S3-B1.3-R3
hexadecan-1-ol,0.11196,C1-S3-B1.3-R3
octadecan-1-ol,0.13996,C1-S3-B1.3-R3
tetradecan-1-ol,0.07193,C1-S3-B1.3-R3
dodecan-1-ol,0.53089,C1-S5-B1.3-R1
hexadecan-1-ol,0.11544,C1-S5-B1.3-R1
octadecan-1-ol,0.14643,C1-S5-B1.3-R1
tetradecan-1-ol,0.09785,C1-S5-B1.3-R1
dodecan-1-ol,0.53505,C1-S5-B1.3-R2
hexadecan-1-ol,0.11686,C1-S5-B1.3-R2
octadecan-1-ol,0.14834,C1-S5-B1.3-R2
tetradecan-1-ol,0.09964,C1-S5-B1.3-R2
dodecan-1-ol,0.55245,C1-S5-B1.3-R3
hexadecan-1-ol,0.11652,C1-S5-B1.3-R3
octadecan-1-ol,0.15049,C1-S5-B1.3-R3
tetradecan-1-ol,0.10438,C1-S5-B1.3-R3
dodecan-1-ol,0.08332,C1-S6-B1.3-R1
hexadecan-1-ol,0,C1-S6-B1.3-R1
octadecan-1-ol,0.14009,C1-S6-B1.3-R1
tetradecan-1-ol,0.06736,C1-S6-B1.3-R1
dodecan-1-ol,0.07902,C1-S6-B1.3-R2
hexadecan-1-ol,0.11196,C1-S6-B1.3-R2
octadecan-1-ol,0,C1-S6-B1.3-R2
tetradecan-1-ol,0.06758,C1-S6-B1.3-R2
dodecan-1-ol,0.0818,C1-S6-B1.3-R3
hexadecan-1-ol,0,C1-S6-B1.3-R3
octadecan-1-ol,0.14,C1-S6-B1.3-R3
tetradecan-1-ol,0.06728,C1-S6-B1.3-R3
dodecan-1-ol,0.53316,C1-S7-B1.3-R1
hexadecan-1-ol,0.11599,C1-S7-B1.3-R1
octadecan-1-ol,0.14666,C1-S7-B1.3-R1
tetradecan-1-ol,0.10876,C1-S7-B1.3-R1
dodecan-1-ol,0.57466,C1-S7-B1.3-R2
hexadecan-1-ol,0.11759,C1-S7-B1.3-R2
octadecan-1-ol,0.15002,C1-S7-B1.3-R2
tetradecan-1-ol,0.11471,C1-S7-B1.3-R2
dodecan-1-ol,0.57237,C1-S7-B1.3-R3
hexadecan-1-ol,0.11355,C1-S7-B1.3-R3
octadecan-1-ol,0.1501,C1-S7-B1.3-R3
tetradecan-1-ol,0.1147,C1-S7-B1.3-R3
dodecan-1-ol,0.63372,C1-S8-B1.3-R1
hexadecan-1-ol,0.11897,C1-S8-B1.3-R1
octadecan-1-ol,0.15289,C1-S8-B1.3-R1
tetradecan-1-ol,0.12056,C1-S8-B1.3-R1
dodecan-1-ol,0.61229,C1-S8-B1.3-R2
hexadecan-1-ol,0.11946,C1-S8-B1.3-R2
octadecan-1-ol,0.15394,C1-S8-B1.3-R2
tetradecan-1-ol,0.12125,C1-S8-B1.3-R2
dodecan-1-ol,0.59677,C1-S8-B1.3-R3
hexadecan-1-ol,0.12036,C1-S8-B1.3-R3
octadecan-1-ol,0.15432,C1-S8-B1.3-R3
tetradecan-1-ol,0.12278,C1-S8-B1.3-R3
dodecan-1-ol,0.63755,C1-S10-B1.3-R1
hexadecan-1-ol,0.12373,C1-S10-B1.3-R1
octadecan-1-ol,0.15776,C1-S10-B1.3-R1
tetradecan-1-ol,0.11825,C1-S10-B1.3-R1
dodecan-1-ol,0.64773,C1-S10-B1.3-R2
hexadecan-1-ol,0.12377,C1-S10-B1.3-R2
octadecan-1-ol,0.15797,C1-S10-B1.3-R2
tetradecan-1-ol,0.12021,C1-S10-B1.3-R2
dodecan-1-ol,0.65566,C1-S10-B1.3-R3
hexadecan-1-ol,0.12486,C1-S10-B1.3-R3
octadecan-1-ol,0.15887,C1-S10-B1.3-R3
tetradecan-1-ol,0.1187,C1-S10-B1.3-R3
dodecan-1-ol,0.02808,C1-S13-B1.3-R1
hexadecan-1-ol,0.11698,C1-S13-B1.3-R1
octadecan-1-ol,0.25191,C1-S13-B1.3-R1
tetradecan-1-ol,0.08894,C1-S13-B1.3-R1
dodecan-1-ol,0.02529,C1-S13-B1.3-R2
hexadecan-1-ol,0.11784,C1-S13-B1.3-R2
octadecan-1-ol,0.24091,C1-S13-B1.3-R2
tetradecan-1-ol,0.08677,C1-S13-B1.3-R2
dodecan-1-ol,0.02469,C1-S13-B1.3-R3
hexadecan-1-ol,0.11657,C1-S13-B1.3-R3
octadecan-1-ol,0.24054,C1-S13-B1.3-R3
tetradecan-1-ol,0.08676,C1-S13-B1.3-R3
dodecan-1-ol,0.02176,C1-S16-B1.3-R1
hexadecan-1-ol,0.18348,C1-S16-B1.3-R1
octadecan-1-ol,0.35836,C1-S16-B1.3-R1
tetradecan-1-ol,0.10237,C1-S16-B1.3-R1
dodecan-1-ol,0.02127,C1-S16-B1.3-R2
hexadecan-1-ol,0.16995,C1-S16-B1.3-R2
octadecan-1-ol,0.33208,C1-S16-B1.3-R2
tetradecan-1-ol,0.09614,C1-S16-B1.3-R2
dodecan-1-ol,0.02242,C1-S16-B1.3-R3
hexadecan-1-ol,0.17778,C1-S16-B1.3-R3
octadecan-1-ol,0.33791,C1-S16-B1.3-R3
tetradecan-1-ol,0.08988,C1-S16-B1.3-R3
dodecan-1-ol,0.15592,C1-S18-B1.3-R1
hexadecan-1-ol,0.46786,C1-S18-B1.3-R1
octadecan-1-ol,0.51648,C1-S18-B1.3-R1
tetradecan-1-ol,0.2091,C1-S18-B1.3-R1
dodecan-1-ol,0.15287,C1-S18-B1.3-R2
hexadecan-1-ol,0.46045,C1-S18-B1.3-R2
octadecan-1-ol,0.51871,C1-S18-B1.3-R2
tetradecan-1-ol,0.20593,C1-S18-B1.3-R2
dodecan-1-ol,0.15298,C1-S18-B1.3-R3
hexadecan-1-ol,0.48861,C1-S18-B1.3-R3
octadecan-1-ol,0.53813,C1-S18-B1.3-R3
tetradecan-1-ol,0.20647,C1-S18-B1.3-R3
dodecan-1-ol,0.05641,C1-S21-B1.3-R1
hexadecan-1-ol,0.11256,C1-S21-B1.3-R1
octadecan-1-ol,0.14403,C1-S21-B1.3-R1
tetradecan-1-ol,0.06918,C1-S21-B1.3-R1
dodecan-1-ol,0.05002,C1-S21-B1.3-R2
hexadecan-1-ol,0,C1-S21-B1.3-R2
octadecan-1-ol,0.14221,C1-S21-B1.3-R2
tetradecan-1-ol,0.06914,C1-S21-B1.3-R2
dodecan-1-ol,0.05149,C1-S21-B1.3-R3
hexadecan-1-ol,0.11273,C1-S21-B1.3-R3
octadecan-1-ol,0.14148,C1-S21-B1.3-R3
tetradecan-1-ol,0.06888,C1-S21-B1.3-R3
dodecan-1-ol,0.09816,C1-S23-B1.3-R1
hexadecan-1-ol,0.11224,C1-S23-B1.3-R1
octadecan-1-ol,0.14045,C1-S23-B1.3-R1
tetradecan-1-ol,0.07295,C1-S23-B1.3-R1
dodecan-1-ol,0.11483,C1-S23-B1.3-R2
hexadecan-1-ol,0.11182,C1-S23-B1.3-R2
octadecan-1-ol,0.14052,C1-S23-B1.3-R2
tetradecan-1-ol,0.07227,C1-S23-B1.3-R2
dodecan-1-ol,0.10282,C1-S23-B1.3-R3
hexadecan-1-ol,0.11231,C1-S23-B1.3-R3
octadecan-1-ol,0.14134,C1-S23-B1.3-R3
tetradecan-1-ol,0.07215,C1-S23-B1.3-R3
dodecan-1-ol,0.03961,C1-S24-B1.3-R1
hexadecan-1-ol,0,C1-S24-B1.3-R1
octadecan-1-ol,0.13998,C1-S24-B1.3-R1
tetradecan-1-ol,0.06731,C1-S24-B1.3-R1
dodecan-1-ol,0.03913,C1-S24-B1.3-R2
hexadecan-1-ol,0.11187,C1-S24-B1.3-R2
octadecan-1-ol,0,C1-S24-B1.3-R2
tetradecan-1-ol,0.06733,C1-S24-B1.3-R2
dodecan-1-ol,0.03932,C1-S24-B1.3-R3
hexadecan-1-ol,0,C1-S24-B1.3-R3
octadecan-1-ol,0,C1-S24-B1.3-R3
tetradecan-1-ol,0.06666,C1-S24-B1.3-R3
dodecan-1-ol,0.02395,C0-S9017-B1.3-R1
