+----------------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+----------------------+
|              Metric              |           P1           |           P2          |           P3          |           P4          |           P5           |           P6          |           P7          |           P8           |           P9          |          P10           |          P11          |          P12           |          P13          |         P14          |
+----------------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+----------------------+
|  Outcome selected for analysis   |           1            |           1           |           1           |           1           |           1            |           1           |           1           |           1            |           1           |           1            |           1           |           1            |           1           |          1           |
|        Comprehensibility         |  0.43067655807339306   |          0.5          |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   |  0.43067655807339306  |  0.43067655807339306  |  0.43067655807339306   |          0.5          |          0.5           |          0.5          |  0.43067655807339306   |          0.5          |         0.5          |
|           Completeness           |  0.06153846153846154   |  0.03703703703703704  |  0.03333333333333333  |  0.023255813953488375 |        0.046875        |  0.02298850574712644  |  0.023809523809523808 |  0.05357142857142857   |  0.03409090909090909  |  0.05357142857142857   |  0.03571428571428571  |  0.06122448979591837   |  0.022727272727272728 | 0.09523809523809523  |
|           Added Value            |   0.0714285714285714   |  -0.28974358974358977 |  -0.1923076923076923  |  -0.2615384615384615  |  0.10769230769230764   |  -0.26923076923076916 |  -0.24615384615384617 |  0.16923076923076918   |  -0.17692307692307696 |   0.0692307692307692   |  -0.1461538461538462  |   0.3730769230769231   |  -0.27692307692307694 |  0.676923076923077   |
|        Casual Confidence         |   0.3019744483159117   |  0.17906336088154268  |   0.2620967741935484  |  0.20800000000000002  |         0.312          |  0.20800000000000002  |  0.20800000000000002  |         0.312          |   0.2620967741935484  |   0.2620967741935484   |   0.2620967741935484  |   0.3869047619047619   |  0.20800000000000002  |  0.5158730158730159  |
|          Casual Support          |   0.5076923076923077   |   0.3538461538461538  |   0.3076923076923077  |  0.33076923076923076  |   0.5153846153846154   |   0.3230769230769231  |  0.34615384615384615  |   0.576923076923077    |  0.32307692307692304  |   0.5692307692307692   |   0.3538461538461538  |   0.6384615384615385   |   0.3153846153846154  |  0.7076923076923077  |
|         Certainty Factor         |   0.1428571428571428   |  -0.7687074829931974  |  -0.6249999999999999  |  -0.7727272727272726  |  0.21212121212121204   |  -0.8139534883720927  |  -0.6956521739130436  |   0.2972972972972972   |  -0.5476190476190478  |  0.12162162162162159   |  -0.41304347826086973 |   0.5987654320987654   |  -0.8571428571428573  |         1.0          |
|            Conviction            |   1.1666666666666667   |   0.5653846153846154  |   0.6153846153846154  |   0.5641025641025641  |   1.2692307692307692   |   0.5512820512820513  |   0.5897435897435896  |   1.4230769230769231   |   0.6461538461538461  |   1.1384615384615384   |   0.7076923076923075  |   2.492307692307693    |   0.5384615384615384  |         inf          |
|        Coverage (Support)        |  0.05384615384615385   |  0.06923076923076923  |  0.046153846153846156 |  0.038461538461538464 |  0.038461538461538464  |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464  |  0.046153846153846156 |  0.046153846153846156  |  0.046153846153846156 |  0.03076923076923077   |  0.038461538461538464 | 0.03076923076923077  |
| Descriptive Confirmed Confidence |  0.14285714285714285   |  -0.3333333333333333  |          0.0          |  -0.19999999999999996 |  0.19999999999999996   |  -0.19999999999999996 |  -0.19999999999999996 |  0.19999999999999996   |          0.0          |          0.0           |          0.0          |          0.5           |  -0.19999999999999996 |         1.0          |
|    Difference of Proportions     |  0.07549361207897787   |  -0.31129476584022037 |  -0.2016129032258065  |         -0.272        |  0.11199999999999999   |  -0.2799999999999999  |  -0.2559999999999999  |         0.176          |   -0.185483870967742  |  0.07258064516129031   |   -0.153225806451613  |   0.3849206349206349   |  -0.2879999999999999  |  0.6984126984126984  |
|   Example and Counter Example    |          0.25          |          -1.0         |          0.0          |          -0.5         |   0.3333333333333333   |          -0.5         |          -0.5         |   0.3333333333333333   |          0.0          |          0.0           |          0.0          |   0.6666666666666666   |          -0.5         |         1.0          |
|         Imbalance Ratio          |   0.8529411764705882   |   0.8275862068965517  |   0.903225806451613   |   0.9101123595505619  |   0.8939393939393939   |   0.911111111111111   |   0.9080459770114941  |   0.8793103448275861   |   0.9010989010989012  |   0.8474576271186441   |   0.8965517241379312  |   0.9000000000000001   |   0.9120879120879122  |  0.9047619047619048  |
|  Fisher's Exact Test (p-value)   |          0.5           |   0.9856062655338794  |   0.9280485651502864  |   0.9554205363752608  |  0.48535066837575536   |   0.959128306077125   |   0.9473235917625682  |   0.369863049878157    |   0.9147178477690289  |   0.5205252278393644   |   0.8837288007268322  |  0.15003415829729694   |   0.9626174998474027  | 0.009853964475370791 |
|         Hyper Confidence         |          0.5           |  0.014393734466120578 |  0.07195143484971356  |  0.04457946362473919  |   0.5146493316242446   |  0.04087169392287504  |  0.052676408237431804 |   0.630136950121843    |  0.08528215223097113  |   0.4794747721606356   |  0.11627119927316776  |   0.8499658417027031   |  0.03738250015259725  |  0.9901460355246292  |
|            Hyper Lift            |   0.6666666666666666   |         0.375         |          0.5          |          0.4          |          0.75          |          0.4          |          0.4          |          0.75          |          0.5          |          0.6           |          0.5          |          1.0           |          0.4          |  1.3333333333333333  |
|   Laplace Corrected Confidence   |   0.5555555555555556   |  0.36363636363636365  |          0.5          |  0.42857142857142855  |   0.5714285714285714   |  0.42857142857142855  |  0.42857142857142855  |   0.5714285714285714   |          0.5          |          0.5           |          0.5          |   0.6666666666666666   |  0.42857142857142855  |  0.8333333333333334  |
|            Importance            |  0.09691001300805648   |  -0.24303804868629436 |          0.0          |  -0.12493873660829993 |   0.1249387366082999   |  -0.12493873660829993 |  -0.12493873660829993 |   0.1249387366082999   |          0.0          |          0.0           |          0.0          |  0.30102999566398114   |  -0.12493873660829993 |  0.6989700043360187  |
|       Jaccard Coefficient        |  0.058823529411764705  |  0.03448275862068966  |  0.03225806451612903  |  0.02247191011235955  |  0.04545454545454546   |  0.022222222222222223 |  0.022988505747126436 |  0.05172413793103449   |  0.03296703296703297  |  0.05084745762711864   |  0.03448275862068966  |  0.06000000000000001   |  0.02197802197802198  | 0.09523809523809523  |
|            J-Measure             | 0.00023944168476082504 |  0.005161133195857115 | 0.0016044049042713208 |  0.002376427410733398 | 0.00038971309465877287 | 0.0025295894105003287 | 0.0020881417551734927 | 0.0009635613450806606  | 0.0013406480939455886 | 0.00019400692035079626 | 0.0008951445125135859 | 0.0038447996085407246  |  0.002689055998823085 | 0.015098278827967269 |
|              Kappa               |  0.01538461538461533   |  -0.0661980082015232  | -0.026315789473684174 | -0.030993618960802292 |  0.01680672268907576   |  -0.03155996393146987 | -0.029822926374650505 |  0.029850746268656768  |  -0.0247223217484772  |  0.014618299945858181  |   -0.021324354657688  |  0.05971068020929553   |  -0.03211418376449595 | 0.12473423104181429  |
|             Klosgen              |  0.012529400275814697  |  -0.0440152109540209  |  -0.02921363558895192 |  -0.03243985366179297 |  0.01635963592981307   |  -0.03339396700478688 | -0.030531626975805158 |  0.025707999318277688  | -0.026876544741835776 |  0.010516908812022689  |  -0.02220236304760347 |  0.056674453042566734  |  -0.03434808034778081 | 0.11874016261387473  |
|            Kulczynski            |  0.31648351648351647   |  0.18518518518518517  |  0.26666666666666666  |   0.2116279069767442  |       0.3234375        |  0.21149425287356324  |  0.21190476190476193  |   0.3267857142857143   |  0.26704545454545453  |   0.2767857142857143   |  0.26785714285714285  |  0.40561224489795916   |  0.21136363636363636  |  0.5476190476190477  |
|     Goodman-Kruskal's Lambda     |  0.48412698412698413   |   0.6141732283464567  |   0.6850393700787402  |        0.65625        |   0.4803149606299213   |       0.6640625       |   0.6406250000000001  |  0.41732283464566927   |   0.6692913385826772  |  0.41732283464566927   |   0.6377952755905512  |   0.3622047244094488   |   0.6718750000000001  | 0.30158730158730157  |
|       Least Contradiction        |  0.015384615384615385  |  -0.03703703703703704 |          0.0          | -0.011627906976744188 |        0.015625        |  -0.01149425287356322 | -0.011904761904761904 |  0.017857142857142856  |          0.0          |          0.0           |          0.0          |  0.04081632653061225   | -0.011363636363636364 | 0.09523809523809523  |
|        Lerman Similarity         |   0.2672612419124244   |   -1.101195068685492  |   -0.566138517072298  |  -0.7190233885442829  |  0.34320323649182194   |   -0.735904983679565  |  -0.6847367880174606  |   0.5765566601970552   |  -0.5267329042764961  |   0.2583761632934465   |  -0.4453668693915706  |   1.2153518267540262   |  -0.7526178090063816  |  2.381860632627374   |
|        Piatetsky-Shapiro         | 0.0038461538461538464  | -0.020059171597633138 | -0.008875739644970411 | -0.010059171597633136 |  0.004142011834319524  | -0.010355029585798814 | -0.009467455621301777 |  0.006508875739644971  | -0.008165680473372783 | 0.0031952662721893496  | -0.006745562130177518 |  0.011479289940828403  | -0.010650887573964499 | 0.020828402366863907 |
|          Max Confidence          |   0.5714285714285714   |   0.3333333333333333  |          0.5          |          0.4          |          0.6           |          0.4          |          0.4          |          0.6           |          0.5          |          0.5           |          0.5          |          0.75          |          0.4          |         1.0          |
|            Odds Ratio            |   1.355191256830601    |  0.27564102564102566  |   0.4252873563218391  |  0.32539682539682535  |   1.5737704918032789   |   0.3137254901960785  |  0.34959349593495936  |   2.0377358490566038   |   0.4588235294117647  |   1.3396226415094339   |   0.5308641975308642  |   5.217391304347826    |   0.3023255813953488  |         inf          |
|   Phi Correlation Coefficient    |  0.034079908829549845  |  0.16305916305916307  |   0.0916544468883458  |  0.11054353508960037  |  0.04308202184276645   |  0.11444694015889997  |  0.10295831233404591  |   0.068350674260132    |   0.0832197941794864  |  0.030753703196629647  |  0.06723568358293351  |   0.1371658225688104   |  0.11843130509275841  |  0.2579059810995543  |
|          Ralambondrainy          |  0.023076923076923078  |  0.046153846153846156 |  0.023076923076923078 |  0.023076923076923078 |  0.015384615384615385  |  0.023076923076923078 |  0.023076923076923078 |  0.015384615384615385  |  0.023076923076923078 |  0.023076923076923078  |  0.023076923076923078 |  0.007692307692307693  |  0.023076923076923078 |         0.0          |
| Relative Linkage Disequilibrium  |   0.9996450964154737   |   0.9999319311142877  |   0.9998461775111521  |   0.9999095104515429  |   0.999780268072951    |   0.9999120956399438  |   0.9999038553985193  |   0.9998601594182631   |    0.99983280387895   |   0.9995728321230244   |   0.9997976118194697  |   0.9999603505015662   |   0.9999145372190411  |         1.0          |
|          Relative Risk           |   1.1522248243559718   |   0.5170940170940171  |   0.7126436781609194  |   0.5952380952380952  |   1.2295081967213115   |   0.5882352941176472  |   0.6097560975609757  |   1.4150943396226414   |   0.7294117647058823  |   1.169811320754717    |   0.765432098765432   |   2.0543478260869565   |   0.5813953488372093  |   3.31578947368421   |
|        Rule Power Factor         |  0.017582417582417582  |  0.007692307692307693 |  0.011538461538461539 |  0.006153846153846154 |  0.013846153846153848  |  0.006153846153846154 |  0.006153846153846154 |  0.013846153846153848  |  0.011538461538461539 |  0.011538461538461539  |  0.011538461538461539 |  0.01730769230769231   |  0.006153846153846154 | 0.03076923076923077  |
|         Sebag-Schoenauer         |   1.3333333333333333   |          0.5          |          1.0          |   0.6666666666666666  |          1.5           |   0.6666666666666666  |   0.6666666666666666  |          1.5           |          1.0          |          1.0           |          1.0          |          3.0           |   0.6666666666666666  |         inf          |
|              Yule Q              |  0.15081206496519722   |  -0.5678391959798995  |  -0.4032258064516128  |  -0.5089820359281438  |  0.22292993630573252   |  -0.5223880597014925  |  -0.48192771084337344 |  0.34161490683229817   |   -0.370967741935484  |  0.14516129032258057   |  -0.3064516129032258  |   0.6783216783216783   |  -0.5357142857142858  |         1.0          |
|              Yule Y              |  0.07583974284062477   |  -0.3114622846411844  |  -0.21055072759931467 |  -0.2735319693113969  |  0.11288537835223067   |  -0.2819592163330629  |  -0.2568622164423291  |   0.1761046808177837   |  -0.19234623122003797 |  0.07296707863777721   |  -0.1570028042779997  |  0.39101645059268475   |  -0.29045461099508146 |         1.0          |
|         Weighted Support         |  0.05384615384615385   |  0.06923076923076923  |  0.046153846153846156 |  0.038461538461538464 |  0.038461538461538464  |  0.038461538461538464 |  0.038461538461538464 |  0.038461538461538464  |  0.046153846153846156 |  0.046153846153846156  |  0.046153846153846156 |  0.03076923076923077   |  0.038461538461538464 | 0.03076923076923077  |
|      Weighted Rule Support       |  0.03076923076923077   |  0.023076923076923078 |  0.023076923076923078 |  0.015384615384615385 |  0.023076923076923078  |  0.015384615384615385 |  0.015384615384615385 |  0.023076923076923078  |  0.023076923076923078 |  0.023076923076923078  |  0.023076923076923078 |  0.023076923076923078  |  0.015384615384615385 | 0.03076923076923077  |
|       Weighted Confidence        |   0.5714285714285714   |   0.3333333333333333  |          0.5          |          0.4          |          0.6           |          0.4          |          0.4          |          0.6           |          0.5          |          0.5           |          0.5          |          0.75          |          0.4          |         1.0          |
|          Weighted Lift           |   1.1428571428571428   |   0.5349794238683128  |   0.7222222222222223  |   0.6046511627906976  |   1.2187499999999998   |   0.5977011494252874  |   0.6190476190476191  |   1.3928571428571428   |   0.7386363636363635  |   1.1607142857142858   |   0.7738095238095237  |   1.989795918367347    |   0.5909090909090909  |  3.0952380952380953  |
|     Statistical Significance     |  1.60713791069296e-07  |  0.023076245784788632 |  0.06890486505428878  |  0.11866978591830467  |  0.025978395286933832  |  0.09147469507830519  |   0.1150786234923115  | 6.0219999468165166e-05 |  0.03134304071766623  |  0.06763447560919135   |   0.1333518402241746  | 0.00048802043547345323 |  0.05112825412446254  | 0.16472320831184079  |
|           FleBiC Score           | 2.4443034550235104e-08 |  0.012867681698934241 |  0.018663719797011605 |  0.03953595241011473  | 0.0042474559452033815  |  0.03179246141184838  |  0.035284574086286366 | 1.2616228351533221e-05 |  0.007395780692930958 |  0.009307624013636268  |  0.02620637394724745  | 0.00021533274606367792 |  0.01799964620155349  | 0.19964391177774063  |
+----------------------------------+------------------------+-----------------------+-----------------------+-----------------------+------------------------+-----------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+-----------------------+----------------------+
