+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|              Metric              |           P1           |           P2           |           P3          |           P4           |           P5          |           P6           |           P7           |           P8           |           P9          |          P10          |          P11           |          P12           |          P13           |          P14           |          P15           |          P16          |          P17          |          P18          |         P19          |         P20          |         P21          |          P22           |          P23          |          P24          |
+----------------------------------+------------------------+------------------------+-----------------------+------------------------+-----------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+------------------------+------------------------+------------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+----------------------+------------------------+-----------------------+-----------------------+
|  Outcome selected for analysis   |           1            |           1            |           1           |           1            |           1           |           1            |           1            |           1            |           1           |           1           |           1            |           1            |           1            |           1            |           1            |           1           |           1           |           1           |          1           |          1           |          1           |           1            |           1           |           1           |
| Descriptive Confirmed Confidence |          0.75          |         0.8125         |          1.0          |          1.0           |  0.47826086956521735  |          1.0           |          1.0           |          1.0           |          1.0          |   0.7999999999999999  |          1.0           |          1.0           |   0.5555555555555556   |  0.38461538461538464   |          1.0           |   0.6363636363636364  |          1.0          |          1.0          |         1.0          |         1.0          |         1.0          |   0.3333333333333333   |          1.0          |          1.0          |
|    Difference of Proportions     |  0.33616504854368934   |   0.6344053398058253   |   0.6915887850467289  |   0.6238938053097345   | -0.051567239635995965 |   0.7713004484304933   |          0.76          |   0.6470588235294118   |   0.6211453744493391  |   0.5622807017543858  |   0.7467248908296944   |   0.7860262008733625   |  -0.03881610868510432  |  -0.08547008547008561  |   0.6991150442477876   |  0.24989987985582696  |   0.7149122807017545  |   0.759825327510917   |  0.5982905982905983  |  0.5914893617021277  |  0.6297872340425532  |  -0.12907801418439713  |  0.35744680851063837  |   0.7276595744680852  |
|   Example and Counter Example    |   0.8571428571428572   |   0.896551724137931    |          1.0          |          1.0           |   0.6470588235294117  |          1.0           |          1.0           |          1.0           |          1.0          |   0.888888888888889   |          1.0           |          1.0           |   0.7142857142857143   |   0.5555555555555556   |          1.0           |   0.7777777777777778  |          1.0          |          1.0          |         1.0          |         1.0          |         1.0          |          0.5           |          1.0          |          1.0          |
|         Imbalance Ratio          |   0.7482517482517482   |   0.6022727272727272   |   0.7333333333333334  |   0.8762886597938144   |   0.849740932642487   |   0.7727272727272727   |   0.8059701492537314   |   0.8210526315789475   |   0.8865979381443299  |   0.8735632183908046  |   0.8656716417910448   |   0.8448275862068966   |   0.9438775510204083   |   0.9095744680851064   |   0.8500000000000001   |   0.9071428571428573  |   0.8666666666666667  |        0.859375       |  0.9591836734693877  |  0.9696969696969697  |  0.9666666666666667  |   0.9789473684210527   |   0.9805194805194806  |   0.955223880597015   |
|  Fisher's Exact Test (p-value)   | 0.00016495666301208356 | 5.6563642658602475e-12 | 8.304135157288783e-12 | 1.3703722400282281e-05 |   0.8031671902229565  | 1.236485913658214e-09  | 2.8055731626785985e-08 | 6.492187076823086e-08  | 3.617145331225036e-05 | 0.0005535412547870155 | 7.380276915713857e-06  | 1.8380696821251874e-06 |   0.7801945122903527   |   0.8543554524135419   | 1.1581608589938952e-06 |  0.08905190813489328  | 6.248003155628901e-06 | 4.753696367987281e-06 | 0.02771325130452973  | 0.07069613942981179  | 0.05295145305494009  |   0.8915153274354153   |   0.2690409783308303  |  0.02159209532343298  |
|         Hyper Confidence         |   0.9998350433369879   |   0.9999999999943436   |   0.9999999999916959  |   0.9999862962775997   |  0.19683280977704354  |   0.9999999987635141   |   0.9999999719442684   |   0.9999999350781292   |   0.9999638285466877  |   0.999446458745213   |   0.9999926197230843   |   0.9999981619303179   |  0.21980548770964725   |  0.14564454758645806   |   0.999998841839141    |   0.9109480918651067  |   0.9999937519968444  |   0.999995246303632   |  0.9722867486954703  |  0.9293038605701882  |  0.9470485469450599  |  0.10848467256458472   |   0.7309590216691697  |   0.978407904676567   |
|            Hyper Lift            |   1.2173913043478262   |         1.8125         |   1.8461538461538463  |          1.5           |   0.8095238095238095  |   2.142857142857143    |   2.1666666666666665   |          1.7           |   1.5714285714285714  |          1.5          |          1.8           |          2.25          |   0.7777777777777778   |          0.75          |   1.7142857142857142   |          1.0          |   1.6666666666666667  |          1.8          |  1.3333333333333333  |         1.0          |         1.0          |   0.6666666666666666   |          1.0          |          1.5          |
|   Laplace Corrected Confidence   |   0.8529411764705882   |   0.8823529411764706   |   0.9615384615384616  |   0.9285714285714286   |          0.72         |   0.9411764705882353   |   0.9333333333333333   |   0.9473684210526315   |   0.9230769230769231  |   0.8333333333333334  |   0.9090909090909091   |   0.9090909090909091   |   0.7272727272727273   |   0.6666666666666666   |   0.9285714285714286   |   0.7692307692307693  |   0.9166666666666666  |   0.9090909090909091  |  0.8333333333333334  |         0.8          |         0.8          |          0.6           |          0.8          |          0.8          |
|            Importance            |   0.7634279935629372   |   0.8750612633916999   |   1.3979400086720375  |   1.1139433523068367   |  0.41017446508904915  |   1.2041199826559246   |   1.1461280356782377   |   1.2552725051033058   |   1.0791812460476247  |   0.6989700043360187  |          1.0           |          1.0           |  0.42596873227228116   |  0.30102999566398114   |   1.1139433523068367   |   0.5228787452803376  |   1.041392685158225   |          1.0          |  0.6989700043360187  |  0.6020599913279623  |  0.6020599913279623  |  0.17609125905568115   |   0.6020599913279623  |   0.6020599913279623  |
|       Jaccard Coefficient        |   0.1958041958041958   |  0.32954545454545453   |  0.26666666666666666  |  0.12371134020618557   |  0.08808290155440414  |  0.22727272727272727   |  0.19402985074626866   |   0.1789473684210526   |  0.11340206185567012  |  0.10344827586206895  |  0.13432835820895522   |  0.15517241379310345   |  0.03571428571428571   |  0.04787234042553191   |          0.15          |  0.06428571428571428  |  0.13333333333333336  |        0.140625       | 0.04081632653061224  | 0.030303030303030304 | 0.03333333333333333  |  0.010526315789473684  |  0.01948051948051948  |  0.04477611940298508  |
